Edge TPU Compiler version 16.0.384591198
Input: /kaggle/working/runs1/yolov8/weights/best_saved_model/best_full_integer_quant.tflite
Output: /kaggle/working/runs1/yolov8/weights/best_saved_model/best_full_integer_quant_edgetpu.tflite

Operator                       Count      Status

LOGISTIC                       57         Mapped to Edge TPU
LOGISTIC                       1          More than one subgraph is not supported
PAD                            7          Mapped to Edge TPU
SUB                            2          More than one subgraph is not supported
RESHAPE                        2          Mapped to Edge TPU
RESHAPE                        4          More than one subgraph is not supported
ADD                            6          Mapped to Edge TPU
ADD                            2          More than one subgraph is not supported
MUL                            2          More than one subgraph is not supported
MUL                            57         Mapped to Edge TPU
SOFTMAX                        1          More than one subgraph is not supported
CONV_2D                        63         Mapped to Edge TPU
CONV_2D                        1          More than one subgraph is not supported
RESIZE_NEAREST_NEIGHBOR        2          Mapped to Edge TPU
CONCATENATION                  2          More than one subgraph is not supported
CONCATENATION                  16         Mapped to Edge TPU
TRANSPOSE                      2          Operation is otherwise supported, but not mapped due to some unspecified limitation
TRANSPOSE                      2          Mapped to Edge TPU
MAX_POOL_2D                    3          Mapped to Edge TPU
QUANTIZE                       1          More than one subgraph is not supported
QUANTIZE                       2          Mapped to Edge TPU
STRIDED_SLICE                  16         Mapped to Edge TPU
STRIDED_SLICE                  4          More than one subgraph is not supported
